dpt_code;dpt_libelle;dpt_latitude;dpt_longitude
01;AIN;46.280376;5.7159615
01;AIN;46.26319;5.7215433
01;AIN;46.260696;5.7251797
01;AIN;46.26193;5.729658
01;AIN;46.26377;5.7336807
01;AIN;46.267155;5.7615633
01;AIN;46.268333;5.7660394
01;AIN;46.26361;5.8135767
01;AIN;46.262867;5.818282
01;AIN;46.262;5.822188
01;AIN;46.261723;5.826259
01;AIN;46.261707;5.850656
01;AIN;46.268776;5.8608513
01;AIN;46.26822;5.867698
01;AIN;46.264984;5.8691897
01;AIN;46.2836;5.891973
01;AIN;46.286613;5.894625
01;AIN;46.28395;5.909195
01;AIN;46.292816;5.915922
01;AIN;46.309303;5.9189296
01;AIN;46.313774;5.9259048
01;AIN;46.309772;5.9373245
01;AIN;46.30927;5.941527
01;AIN;46.312206;5.9440103
01;AIN;46.3503;5.975138
01;AIN;46.36266;5.984122
01;AIN;46.376;6.0133834
01;AIN;46.388107;6.0310206
01;AIN;46.41142;6.0528035
01;AIN;46.417515;6.0605774
01;AIN;46.41623;6.064006
01;AIN;46.40859;6.0977798
01;AIN;46.399994;6.1064157
01;AIN;46.395985;6.1203136
01;AIN;46.379745;6.1469455
01;AIN;46.37646;6.161044
01;AIN;46.3707;6.1668067
01;AIN;46.36419;6.16696
01;AIN;46.343143;6.1492577
01;AIN;46.33987;6.1404057
01;AIN;46.333126;6.137699
01;AIN;46.31727;6.1243715
01;AIN;46.311134;6.119798
01;AIN;46.307716;6.119093
01;AIN;46.29529;6.119464
01;AIN;46.28736;6.1052966
01;AIN;46.284855;6.1023693
01;AIN;46.268055;6.112988
01;AIN;46.265663;6.1160445
01;AIN;46.263638;6.1201234
01;AIN;46.253353;6.1224475
01;AIN;46.24444;6.1158953
01;AIN;46.238655;6.1035
01;AIN;46.247047;6.0881367
01;AIN;46.246403;6.0833797
01;AIN;46.24175;6.070481
01;AIN;46.244892;6.0619607
01;AIN;46.23195;6.046953
01;AIN;46.233105;6.0423985
01;AIN;46.23533;6.0386167
01;AIN;46.235916;6.0299344
01;AIN;46.231827;6.016679
01;AIN;46.230026;6.0125985
01;AIN;46.222584;6.0029354
01;AIN;46.220444;5.9938254
01;AIN;46.217175;5.992711
01;AIN;46.214756;5.974412
01;AIN;46.202282;5.971385
01;AIN;46.198036;5.9642034
01;AIN;46.19697;5.963679
01;AIN;46.184826;5.993242
01;AIN;46.174885;5.990267
01;AIN;46.172222;5.9821672
01;AIN;46.156178;5.9733453
01;AIN;46.144672;5.964701
01;AIN;46.13569;5.96378
01;AIN;46.1321;5.956067
01;AIN;46.130367;5.952727
01;AIN;46.128654;5.9369535
01;AIN;46.128;5.9279323
01;AIN;46.131046;5.920411
01;AIN;46.122543;5.906799
01;AIN;46.119778;5.896826
01;AIN;46.118923;5.8930287
01;AIN;46.109627;5.886234
01;AIN;46.097248;5.893236
01;AIN;46.087154;5.889991
01;AIN;46.08554;5.866265
01;AIN;46.086674;5.8559837
01;AIN;46.089207;5.8527427
01;AIN;46.102562;5.838208
01;AIN;46.10567;5.829655
01;AIN;46.10294;5.820729
01;AIN;46.089897;5.8216963
01;AIN;46.077602;5.8115296
01;AIN;46.07425;5.8107095
01;AIN;46.060867;5.8080745
01;AIN;46.05888;5.810988
01;AIN;46.054302;5.8136077
01;AIN;46.043835;5.8069935
01;AIN;46.041157;5.8080134
01;AIN;46.032955;5.809342
01;AIN;46.029896;5.8104925
01;AIN;46.023804;5.812302
01;AIN;46.01574;5.8054705
01;AIN;46.012978;5.806795
01;AIN;46.008152;5.810549
01;AIN;46.005257;5.8095365
01;AIN;45.993397;5.8101926
01;AIN;45.986656;5.8122845
01;AIN;45.972034;5.8340235
01;AIN;45.96858;5.833919
01;AIN;45.961716;5.8327837
01;AIN;45.952305;5.8348303
