forecast;position;timestamp;2_metre_temperature;minimum_temperature_at_2_metres;maximum_temperature_at_2_metres;relative_humidity;total_water_precipitation;wind_speed;downward_short_wave_radiation_flux;surface_latent_heat_flux;surface_sensible_heat_flux;surface_net_solar_radiation;surface_net_thermal_radiation;dist
2020-10-31T16:00:00;"49.075,6.2";2020-10-30T03:00:00;14.738916000000017;14.735986000000025;16.08950200000004;78.23584;0.09375;3.534823;10263529.0;-4118864;-244158.0;8638806.0;-4849920.0;""
2020-10-30T05:00:00;"49.075,6.15";2020-10-30T03:00:00;13.071680000000015;12.92519500000003;13.33046900000005;84.628624;0.000977;4.032948;0.0;-155200;292571.625;0.0;-180180.0;""
2020-10-30T08:00:00;"49.075,6.15";2020-10-30T03:00:00;13.107813000000021;13.107813000000021;13.272363000000041;83.442963;0.001953;3.487992;93623.59375;-526938;645514.0;79236.632813;-277681.0;""
2020-10-30T09:00:00;"49.075,6.15";2020-10-30T03:00:00;13.298242000000016;13.006738000000041;13.327539000000002;82.090973;0.027344;5.221642;212405.609375;-669277;712398.0;180546.359375;-305304.0;""
2020-10-30T15:00:00;"49.075,6.15";2020-10-30T03:00:00;13.486230000000035;13.331934000000047;13.528223000000025;82.722168;0.066406;3.460966;1373389.0;-1661836;878285.0;1165327.625;-538939.0;""
2020-10-30T16:00:00;"49.075,6.15";2020-10-30T03:00:00;13.289697000000047;13.298486000000025;13.481104000000016;83.04557;0.066406;3.722646;1414491.125;-1736368;911519.0;1200445.375;-572718.0;""
2020-10-31T12:00:00;"49.075,6.15";2020-10-30T03:00:00;15.213770000000011;14.12856400000004;15.21840800000001;74.936272;0.066406;2.747635;7048801.0;-3265568;396561.0;5931092.0;-3459844.0;""
2020-10-31T15:00:00;"49.075,6.15";2020-10-30T03:00:00;16.128809000000047;16.130762000000004;16.458398000000045;73.539009;0.066406;3.784945;10194706.0;-4513168;52862.0;8575147.0;-4589728.0;""
2020-10-30T10:00:00;"49.075,6.175";2020-10-30T03:00:00;13.565576000000021;13.251855000000035;13.69448200000005;81.946671;0.033203;4.488593;469801.71875;-876504;770685.0;392484.3125;-305200.0;""
2020-10-31T13:00:00;"49.075,6.175";2020-10-30T03:00:00;15.820703000000037;15.091699000000006;15.816797000000008;74.496208;0.076172;3.32287;8376515.5;-3831328;444620.0;6946220.0;-3728704.0;""
2020-10-31T17:00:00;"49.075,6.175";2020-10-30T03:00:00;12.465723000000025;12.471582000000012;14.685693000000015;87.741272;0.076172;2.768288;10344759.0;-4755568;560159.0;8575318.0;-5012368.0;""
2020-10-30T08:00:00;"49.075,6.2";2020-10-30T03:00:00;13.002832000000012;12.998438000000021;13.162988000000041;84.442963;0.002441;3.495804;98903.59375;-391642;481802.0;83844.632813;-257009.0;""
2020-10-30T19:00:00;"49.075,6.2";2020-10-30T03:00:00;12.736230000000035;12.73427700000002;12.864404000000036;86.343735;0.092773;2.108749;1246033.625;-1558497;805486.0;1059443.375;-614479.0;""
2020-10-31T00:00:00;"49.075,6.2";2020-10-30T03:00:00;11.981348000000025;11.98330100000004;12.013329999999996;88.763206;0.092773;1.267354;1246033.625;-1584213;843898.0;1059443.375;-758748.0;""
2020-10-30T04:00:00;"49.075,6.15";2020-10-30T03:00:00;13.142480000000035;13.095361000000025;13.445947000000047;81.73983;0.0;4.564831;0.0;-74197;166016.9375;0.0;-146933.125;""
2020-10-30T11:00:00;"49.075,6.15";2020-10-30T03:00:00;13.417871000000048;13.41323200000005;13.606348000000025;81.698936;0.027344;4.329475;684663.0;-1060276;783394.0;581088.375;-390803.0;""
2020-10-30T12:00:00;"49.075,6.15";2020-10-30T03:00:00;13.76894500000003;13.42153300000001;13.774072000000047;80.437759;0.027344;4.2241;923850.4375;-1248696;814810.0;783535.375;-428689.0;""
2020-10-31T02:00:00;"49.075,6.15";2020-10-30T03:00:00;11.607813000000021;11.602197000000047;11.833398000000045;89.695694;0.066406;1.731884;1415249.625;-1913650;1142496.0;1200755.375;-884401.0;""
